"team","abbreviation","allowed"
"Washington Wizards","WSH",127.7
"Utah Jazz","UTA",125.4
"Chicago Bulls","CHI",123.1
"Sacramento Kings","SAC",122.9
"New Orleans Pelicans","NO",122.1
"Portland Trail Blazers","POR",121.2
"Charlotte Hornets","CHA",120.2
"Brooklyn Nets","BKN",119.3
"Philadelphia 76ers","PHI",118.8
"Indiana Pacers","IND",118.6
"Miami Heat","MIA",118.2
"LA Clippers","LAC",117.7
"Milwaukee Bucks","MIL",117.7
"Atlanta Hawks","ATL",116.6
"Memphis Grizzlies","MEM",116.5
"Dallas Mavericks","DAL",115.9
"Cleveland Cavaliers","CLE",115.6
"Los Angeles Lakers","LAL",115.4
"Denver Nuggets","DEN",115.1
"Minnesota Timberwolves","MIN",114.1
"Orlando Magic","ORL",114.1
"Phoenix Suns","PHX",114.0
"Detroit Pistons","DET",114.0
"San Antonio Spurs","SA",113.6
"Golden State Warriors","GS",113.6
"New York Knicks","NY",112.9
"Toronto Raptors","TOR",112.9
"Boston Celtics","BOS",110.9
"Houston Rockets","HOU",109.9
"Oklahoma City Thunder","OKC",106.7
