"team","abbreviation","bullpen_fip","bullpen_era","bullpen_whip","innings_last1d","innings_last3d","closer_available"
"Athletics","ATH","4.93","5.90","1.58","3.0","12.3","yes"
"Atlanta Braves","ATL","3.25","2.83","1.08","6.0","13.7","yes"
"Arizona Diamondbacks","AZ","3.76","3.79","1.27","7.3","14.3","yes"
"Baltimore Orioles","BAL","3.77","4.06","1.30","4.0","11.0","yes"
"Boston Red Sox","BOS","3.60","3.61","1.23","5.0","14.7","yes"
"Chicago Cubs","CHC","4.97","4.84","1.40","5.3","12.0","yes"
"Cincinnati Reds","CIN","4.87","4.73","1.44","3.7","11.3","yes"
"Cleveland Guardians","CLE","3.80","3.65","1.27","3.7","5.7","yes"
"Colorado Rockies","COL","4.83","5.20","1.60","5.0","13.3","yes"
"Chicago White Sox","CWS","4.70","3.91","1.34","2.3","9.0","yes"
"Detroit Tigers","DET","4.64","4.76","1.43","6.3","12.0","yes"
"Houston Astros","HOU","4.06","3.54","1.19","2.0","11.3","yes"
"Kansas City Royals","KC","5.60","5.92","1.64","4.0","7.0","no"
"Los Angeles Angels","LAA","4.41","4.60","1.41","3.0","8.0","yes"
"Los Angeles Dodgers","LAD","4.42","4.51","1.38","3.0","9.0","yes"
"Miami Marlins","MIA","3.85","4.08","1.30","4.3","12.0","yes"
"Milwaukee Brewers","MIL","3.76","3.53","1.26","5.0","14.0","yes"
"Minnesota Twins","MIN","4.15","4.53","1.42","8.0","18.0","yes"
"New York Mets","NYM","4.26","3.95","1.30","6.0","12.0","yes"
"New York Yankees","NYY","3.96","3.18","1.23","2.0","10.0","yes"
"Philadelphia Phillies","PHI","3.62","3.83","1.25","1.0","7.3","yes"
"Pittsburgh Pirates","PIT","3.89","3.82","1.33","5.0","9.3","yes"
"San Diego Padres","SD","3.21","2.87","1.17","4.0","10.3","no"
"Seattle Mariners","SEA","4.32","4.33","1.37","4.3","11.7","yes"
"San Francisco Giants","SF","4.44","5.00","1.57","5.0","15.7","yes"
"St. Louis Cardinals","STL","4.23","4.25","1.33","9.0","13.0","yes"
"Tampa Bay Rays","TB","3.75","3.12","1.05","6.3","12.0","yes"
"Texas Rangers","TEX","5.10","5.17","1.54","5.0","10.7","yes"
"Toronto Blue Jays","TOR","4.18","3.71","1.32","3.0","10.0","yes"
"Washington Nationals","WSH","5.61","6.45","1.67","5.7","16.7","yes"
