"team","abbreviation","venue","park_factor","roof_type"
"Arizona Diamondbacks","AZ","Chase Field","108","Retractable"
"Athletics","ATH","Sutter Health Park","128","Open"
"Atlanta Braves","ATL","Truist Park","100","Open"
"Baltimore Orioles","BAL","Oriole Park at Camden Yards","106","Open"
"Boston Red Sox","BOS","Fenway Park","104","Open"
"Chicago Cubs","CHC","Wrigley Field","92","Open"
"Chicago White Sox","CWS","Rate Field","96","Open"
"Cincinnati Reds","CIN","Great American Ball Park","104","Open"
"Cleveland Guardians","CLE","Progressive Field","98","Open"
"Colorado Rockies","COL","Coors Field","128","Open"
"Detroit Tigers","DET","Comerica Park","100","Open"
"Houston Astros","HOU","Daikin Park","100","Retractable"
"Kansas City Royals","KC","Kauffman Stadium","102","Open"
"Los Angeles Angels","LAA","Angel Stadium","100","Open"
"Los Angeles Dodgers","LAD","UNIQLO Field at Dodger Stadium","102","Open"
"Miami Marlins","MIA","loanDepot park","100","Retractable"
"Milwaukee Brewers","MIL","American Family Field","94","Retractable"
"Minnesota Twins","MIN","Target Field","106","Open"
"New York Mets","NYM","Citi Field","98","Open"
"New York Yankees","NYY","Yankee Stadium","102","Open"
"Philadelphia Phillies","PHI","Citizens Bank Park","104","Open"
"Pittsburgh Pirates","PIT","PNC Park","102","Open"
"San Diego Padres","SD","Petco Park","94","Open"
"San Francisco Giants","SF","Oracle Park","96","Open"
"Seattle Mariners","SEA","T-Mobile Park","83","Retractable"
"St. Louis Cardinals","STL","Busch Stadium","94","Open"
"Tampa Bay Rays","TB","Tropicana Field","94","Dome"
"Texas Rangers","TEX","Globe Life Field","88","Retractable"
"Toronto Blue Jays","TOR","Rogers Centre","102","Retractable"
"Washington Nationals","WSH","Nationals Park","104","Open"
