"game_date","game_time","away_team","away_abbr","home_team","home_abbr","venue","away_starter","away_starter_confirmed","home_starter","home_starter_confirmed","book_total","home_moneyline","away_moneyline","temperature_f","wind_speed_mph","wind_direction","roof_closed","away_lineup_confirmed","home_lineup_confirmed"
"2026-08-02","2026-08-02T17:35:00Z","Philadelphia Phillies","PHI","Baltimore Orioles","BAL","Oriole Park at Camden Yards","Zack Wheeler","yes","Kyle Bradish","yes","","","","89","11","crosswind","no","no","no"
"2026-08-02","2026-08-02T17:35:00Z","Washington Nationals","WSH","Atlanta Braves","ATL","Truist Park","Cade Cavalli","yes","","no","","","","87","12","out","no","no","no"
"2026-08-02","2026-08-02T17:37:00Z","St. Louis Cardinals","STL","Toronto Blue Jays","TOR","Rogers Centre","Matthew Liberatore","yes","Max Scherzer","yes","","","","69","11","in","no","no","no"
"2026-08-02","2026-08-02T17:40:00Z","Arizona Diamondbacks","AZ","Cleveland Guardians","CLE","Progressive Field","Merrill Kelly","yes","Gavin Williams","yes","","","","75","8","in","no","no","no"
"2026-08-02","2026-08-02T17:40:00Z","Pittsburgh Pirates","PIT","Cincinnati Reds","CIN","Great American Ball Park","Mitch Keller","yes","Chase Burns","yes","","","","73","5","out","no","no","no"
"2026-08-02","2026-08-02T17:40:00Z","Chicago White Sox","CWS","Tampa Bay Rays","TB","Tropicana Field","Anthony Kay","yes","Griffin Jax","yes","","","","","","none","yes","no","no"
"2026-08-02","2026-08-02T17:40:00Z","Miami Marlins","MIA","New York Mets","NYM","Citi Field","Sandy Alcantara","yes","Robert Stock","yes","","","","84","14","crosswind","no","no","no"
"2026-08-02","2026-08-02T18:10:00Z","Texas Rangers","TEX","Houston Astros","HOU","Daikin Park","Kumar Rocker","yes","Peter Lambert","yes","","","","91","3","in","no","no","no"
"2026-08-02","2026-08-02T18:20:00Z","New York Yankees","NYY","Chicago Cubs","CHC","Wrigley Field","Gerrit Cole","yes","Colin Rea","yes","","","","73","14","in","no","no","no"
"2026-08-02","2026-08-02T19:10:00Z","Kansas City Royals","KC","Colorado Rockies","COL","Coors Field","Seth Lugo","yes","Kyle Freeland","yes","","","","100","8","crosswind","no","no","no"
"2026-08-02","2026-08-02T19:15:00Z","Milwaukee Brewers","MIL","Los Angeles Angels","LAA","Angel Stadium","Jacob Misiorowski","yes","Walbert Ureña","yes","","","","88","8","out","no","no","no"
"2026-08-02","2026-08-02T20:05:00Z","Detroit Tigers","DET","Athletics","ATH","Sutter Health Park","Keider Montero","yes","Gage Jump","yes","","","","100","2","out","no","no","no"
"2026-08-02","2026-08-02T20:10:00Z","San Francisco Giants","SF","San Diego Padres","SD","Petco Park","Landen Roupp","yes","Michael King","yes","","","","82","7","crosswind","no","no","no"
"2026-08-02","2026-08-02T20:10:00Z","Minnesota Twins","MIN","Seattle Mariners","SEA","T-Mobile Park","Taj Bradley","yes","George Kirby","yes","","","","65","8","crosswind","no","no","no"
"2026-08-02","2026-08-02T23:20:00Z","Boston Red Sox","BOS","Los Angeles Dodgers","LAD","UNIQLO Field at Dodger Stadium","Jake Bennett","yes","Emmet Sheehan","yes","","","","87","8","crosswind","no","no","no"
