"team","abbreviation","wrc_plus","woba","ops","runs_per_game","recent_runs_per_game"
"Athletics","ATH","","0.317","0.717","4.36","3.79"
"Atlanta Braves","ATL","","0.321","0.731","4.84","4.00"
"Arizona Diamondbacks","AZ","","0.314","0.713","4.50","4.47"
"Baltimore Orioles","BAL","","0.317","0.716","4.50","3.94"
"Boston Red Sox","BOS","","0.318","0.721","4.44","5.50"
"Chicago Cubs","CHC","","0.334","0.756","5.18","5.70"
"Cincinnati Reds","CIN","","0.310","0.701","4.11","3.68"
"Cleveland Guardians","CLE","","0.304","0.683","3.97","3.78"
"Colorado Rockies","COL","","0.327","0.744","4.77","4.82"
"Chicago White Sox","CWS","","0.321","0.728","4.82","5.00"
"Detroit Tigers","DET","","0.321","0.727","4.57","6.56"
"Houston Astros","HOU","","0.321","0.731","4.63","4.83"
"Kansas City Royals","KC","","0.311","0.706","4.15","3.78"
"Los Angeles Angels","LAA","","0.306","0.688","4.11","3.05"
"Los Angeles Dodgers","LAD","","0.336","0.766","4.98","3.89"
"Miami Marlins","MIA","","0.321","0.726","4.35","4.00"
"Milwaukee Brewers","MIL","","0.323","0.729","4.86","4.10"
"Minnesota Twins","MIN","","0.320","0.725","4.65","4.11"
"New York Mets","NYM","","0.307","0.694","4.18","4.89"
"New York Yankees","NYY","","0.316","0.719","4.48","3.42"
"Philadelphia Phillies","PHI","","0.312","0.709","4.41","4.95"
"Pittsburgh Pirates","PIT","","0.330","0.747","5.04","4.00"
"San Diego Padres","SD","","0.312","0.705","4.30","5.21"
"Seattle Mariners","SEA","","0.304","0.683","3.87","3.00"
"San Francisco Giants","SF","","0.312","0.712","4.06","3.74"
"St. Louis Cardinals","STL","","0.307","0.692","4.34","3.84"
"Tampa Bay Rays","TB","","0.325","0.738","4.58","4.67"
"Texas Rangers","TEX","","0.314","0.709","4.07","3.40"
"Toronto Blue Jays","TOR","","0.300","0.678","3.91","3.80"
"Washington Nationals","WSH","","0.336","0.766","5.35","4.70"
