team,abbreviation,fg_pct
Los Angeles Lakers,LAL,49.8
Denver Nuggets,DEN,49.3
Minnesota Timberwolves,MIN,48.4
Oklahoma City Thunder,OKC,48.3
LA Clippers,LAC,48.2
New York Knicks,NY,48.0
Charlotte Hornets,CHA,47.9
Detroit Pistons,DET,47.9
Boston Celtics,BOS,47.6
Cleveland Cavaliers,CLE,47.6
San Antonio Spurs,SA,47.6
Phoenix Suns,PHX,47.5
Chicago Bulls,CHI,47.4
Atlanta Hawks,ATL,47.1
Utah Jazz,UTAH,47.1
Indiana Pacers,IND,47.0
Milwaukee Bucks,MIL,47.0
New Orleans Pelicans,NO,47.0
Portland Trail Blazers,POR,46.9
Dallas Mavericks,DAL,46.7
Memphis Grizzlies,MEM,46.7
Houston Rockets,HOU,46.5
Miami Heat,MIA,46.4
Golden State Warriors,GS,46.3
Philadelphia 76ers,PHI,46.1
Orlando Magic,ORL,46.0
Sacramento Kings,SAC,46.0
Toronto Raptors,TOR,45.9
Washington Wizards,WSH,45.4
Brooklyn Nets,BKN,44.5
