"team","abbreviation","off_rtg"
"Cleveland Cavaliers","CLE",119.1
"Boston Celtics","BOS",118.2
"Denver Nuggets","DEN",118.1
"Oklahoma City Thunder","OKC",117.4
"New York Knicks","NY",116.6
"Sacramento Kings","SAC",115
"Indiana Pacers","IND",114.8
"Memphis Grizzlies","MEM",114.6
"Minnesota Timberwolves","MIN",114.5
"Phoenix Suns","PHX",114.3
"Milwaukee Bucks","MIL",113.9
"Los Angeles Lakers","LAL",113.3
"LA Clippers","LAC",113.2
"Detroit Pistons","DET",112.7
"Houston Rockets","HOU",112.5
"Golden State Warriors","GS",112.4
"Miami Heat","MIA",112.4
"Atlanta Hawks","ATL",112.3
"Dallas Mavericks","DAL",112.3
"Chicago Bulls","CHI",111.9
"San Antonio Spurs","SA",111.9
"Philadelphia 76ers","PHI",109.7
"Portland Trail Blazers","POR",109.1
"Utah Jazz","UTAH",108.9
"Toronto Raptors","TOR",108.3
"New Orleans Pelicans","NO",107.9
"Orlando Magic","ORL",106.9
"Brooklyn Nets","BKN",106.2
"Charlotte Hornets","CHA",104.8
"Washington Wizards","WSH",104.3
