"team","abbreviation","pace"
"Memphis Grizzlies","MEM",106.2
"Chicago Bulls","CHI",105.3
"Atlanta Hawks","ATL",105.2
"Washington Wizards","WSH",103.5
"Utah Jazz","UTAH",102.7
"Oklahoma City Thunder","OKC",102.6
"Detroit Pistons","DET",102.5
"Cleveland Cavaliers","CLE",102.4
"Toronto Raptors","TOR",102.4
"Denver Nuggets","DEN",102.3
"Indiana Pacers","IND",102.2
"New Orleans Pelicans","NO",101.8
"San Antonio Spurs","SA",101.8
"Dallas Mavericks","DAL",101.7
"Houston Rockets","HOU",101.6
"Portland Trail Blazers","POR",101.6
"Milwaukee Bucks","MIL",101.4
"Golden State Warriors","GS",101.3
"Sacramento Kings","SAC",100.6
"Charlotte Hornets","CHA",100.3
"Los Angeles Lakers","LAL",100.1
"Philadelphia 76ers","PHI",99.9
"Minnesota Timberwolves","MIN",99.8
"LA Clippers","LAC",99.7
"Phoenix Suns","PHX",99.4
"New York Knicks","NY",99.3
"Brooklyn Nets","BKN",99
"Orlando Magic","ORL",98.6
"Miami Heat","MIA",98.4
"Boston Celtics","BOS",98.3
