team,abbreviation,ppg
Denver Nuggets,DEN,120.5
Miami Heat,MIA,119.9
Cleveland Cavaliers,CLE,119.1
Minnesota Timberwolves,MIN,119.1
Oklahoma City Thunder,OKC,119.1
San Antonio Spurs,SA,118.2
Utah Jazz,UTAH,117.9
Atlanta Hawks,ATL,117.4
Detroit Pistons,DET,117.2
New York Knicks,NY,117.1
Charlotte Hornets,CHA,116.1
Philadelphia 76ers,PHI,116.0
Los Angeles Lakers,LAL,115.8
Chicago Bulls,CHI,115.7
Memphis Grizzlies,MEM,115.6
Golden State Warriors,GS,115.3
Portland Trail Blazers,POR,115.2
Boston Celtics,BOS,114.9
New Orleans Pelicans,NO,114.9
Orlando Magic,ORL,114.8
Houston Rockets,HOU,114.7
Toronto Raptors,TOR,113.7
Dallas Mavericks,DAL,113.4
Washington Wizards,WSH,112.2
LA Clippers,LAC,112.1
Phoenix Suns,PHX,112.1
Indiana Pacers,IND,111.4
Milwaukee Bucks,MIL,111.3
Sacramento Kings,SAC,110.2
Brooklyn Nets,BKN,106.8
