team,abbreviation,rebound_margin
Houston Rockets,HOU,8.5
Charlotte Hornets,CHA,6.7
New York Knicks,NY,4.7
Boston Celtics,BOS,4.5
Detroit Pistons,DET,4.5
San Antonio Spurs,SA,3.1
Portland Trail Blazers,POR,2.1
Minnesota Timberwolves,MIN,1.4
Cleveland Cavaliers,CLE,0.5
Denver Nuggets,DEN,0.3
Miami Heat,MIA,0.2
Orlando Magic,ORL,0.0
Los Angeles Lakers,LAL,-0.2
Chicago Bulls,CHI,-0.5
LA Clippers,LAC,-0.7
Phoenix Suns,PHX,-0.7
Toronto Raptors,TOR,-0.9
Utah Jazz,UTAH,-1.0
Memphis Grizzlies,MEM,-1.3
New Orleans Pelicans,NO,-1.6
Oklahoma City Thunder,OKC,-1.6
Philadelphia 76ers,PHI,-1.9
Dallas Mavericks,DAL,-2.0
Golden State Warriors,GS,-2.0
Brooklyn Nets,BKN,-2.6
Atlanta Hawks,ATL,-3.0
Sacramento Kings,SAC,-3.0
Milwaukee Bucks,MIL,-3.7
Indiana Pacers,IND,-4.5
Washington Wizards,WSH,-4.8
