team,abbreviation,three_rate
Golden State Warriors,GS,45.3
Charlotte Hornets,CHA,42.5
Boston Celtics,BOS,42.4
Portland Trail Blazers,POR,41.9
Phoenix Suns,PHX,41.0
Cleveland Cavaliers,CLE,40.3
Chicago Bulls,CHI,40.1
Brooklyn Nets,BKN,39.3
Atlanta Hawks,ATL,39.2
New York Knicks,NY,39.2
Memphis Grizzlies,MEM,38.1
Milwaukee Bucks,MIL,38.0
Oklahoma City Thunder,OKC,37.7
Minnesota Timberwolves,MIN,37.6
San Antonio Spurs,SA,37.6
Utah Jazz,UTAH,37.3
Miami Heat,MIA,37.1
Indiana Pacers,IND,36.9
Washington Wizards,WSH,36.2
Philadelphia 76ers,PHI,35.7
Denver Nuggets,DEN,35.1
Orlando Magic,ORL,33.9
LA Clippers,LAC,33.7
Los Angeles Lakers,LAL,33.7
Toronto Raptors,TOR,33.0
New Orleans Pelicans,NO,32.4
Detroit Pistons,DET,31.4
Dallas Mavericks,DAL,31.2
Houston Rockets,HOU,30.7
Sacramento Kings,SAC,30.1
