team,abbreviation,turnover_margin
Charlotte Hornets,CHA,2.6
Chicago Bulls,CHI,2.2
Washington Wizards,WSH,2.0
Brooklyn Nets,BKN,1.8
Portland Trail Blazers,POR,1.8
Dallas Mavericks,DAL,1.7
Houston Rockets,HOU,1.6
Utah Jazz,UTAH,1.6
Milwaukee Bucks,MIL,1.5
LA Clippers,LAC,1.0
Indiana Pacers,IND,0.7
Denver Nuggets,DEN,0.6
Sacramento Kings,SAC,0.3
Los Angeles Lakers,LAL,0.2
San Antonio Spurs,SA,0.2
Memphis Grizzlies,MEM,0.0
Minnesota Timberwolves,MIN,-0.3
Golden State Warriors,GS,-0.4
New Orleans Pelicans,NO,-0.4
Boston Celtics,BOS,-0.8
New York Knicks,NY,-1.0
Miami Heat,MIA,-1.1
Orlando Magic,ORL,-1.1
Cleveland Cavaliers,CLE,-1.2
Atlanta Hawks,ATL,-1.3
Phoenix Suns,PHX,-1.8
Philadelphia 76ers,PHI,-1.9
Toronto Raptors,TOR,-1.9
Detroit Pistons,DET,-2.0
Oklahoma City Thunder,OKC,-4.2
