"team","abbreviation","def_yards"
"Houston Texans","HOU",272.4
"Cleveland Browns","CLE",278.6
"Denver Broncos","DEN",282.1
"Los Angeles Chargers","LAC",288.1
"Seattle Seahawks","SEA",292.6
"Buffalo Bills","BUF",294.3
"Baltimore Ravens","BAL",295.4
"Pittsburgh Steelers","PIT",297.6
"San Francisco 49ers","SF",299.2
"Green Bay Packers","GB",301.5
"Jacksonville Jaguars","JAX",302.7
"Detroit Lions","DET",304.1
"Los Angeles Rams","LAR",305.6
"New Orleans Saints","NO",306.4
"Kansas City Chiefs","KC",308.9
"Atlanta Falcons","ATL",309.7
"Tampa Bay Buccaneers","TB",311.2
"Indianapolis Colts","IND",312.4
"Cincinnati Bengals","CIN",314.8
"Minnesota Vikings","MIN",316.9
"Philadelphia Eagles","PHI",318.5
"Dallas Cowboys","DAL",320.1
"Arizona Cardinals","ARI",321.6
"Washington Commanders","WSH",323.8
"Las Vegas Raiders","LV",325.7
"New York Jets","NYJ",327.4
"Miami Dolphins","MIA",329.2
"New York Giants","NYG",331.5
"Chicago Bears","CHI",333.6
"Tennessee Titans","TEN",335.1
"Carolina Panthers","CAR",338.7
"New England Patriots","NE",340.9
