"team","abbreviation","off_yards"
"Kansas City Chiefs","KC",457.5
"Buffalo Bills","BUF",427.5
"Chicago Bears","CHI",424.5
"Baltimore Ravens","BAL",409
"Carolina Panthers","CAR",409
"Los Angeles Rams","LAR",385.5
"New Orleans Saints","NO",383.5
"San Francisco 49ers","SF",380.5
"Houston Texans","HOU",377.5
"Detroit Lions","DET",362
"Washington Commanders","WSH",342
"Seattle Seahawks","SEA",333
"Philadelphia Eagles","PHI",329.5
"New York Jets","NYJ",326
"Jacksonville Jaguars","JAX",314
"Cincinnati Bengals","CIN",309
"Green Bay Packers","GB",309
"New England Patriots","NE",302
"Las Vegas Raiders","LV",297.5
"Tampa Bay Buccaneers","TB",297.5
"Indianapolis Colts","IND",290
"Los Angeles Chargers","LAC",289
"Dallas Cowboys","DAL",288
"New York Giants","NYG",288
"Denver Broncos","DEN",284
"Arizona Cardinals","ARI",272
"Miami Dolphins","MIA",271.5
"Cleveland Browns","CLE",269.5
"Atlanta Falcons","ATL",262
"Pittsburgh Steelers","PIT",249.5
"Tennessee Titans","TEN",243
"Minnesota Vikings","MIN",242.5
