"team","abbreviation","ppg"
"Arizona Cardinals","ARI",21.7
"Atlanta Falcons","ATL",20.1
"Baltimore Ravens","BAL",23.9
"Buffalo Bills","BUF",28.9
"Carolina Panthers","CAR",19.0
"Chicago Bears","CHI",25.7
"Cincinnati Bengals","CIN",24.2
"Cleveland Browns","CLE",17.2
"Dallas Cowboys","DAL",29.3
"Denver Broncos","DEN",23.7
"Detroit Lions","DET",30.3
"Green Bay Packers","GB",24.8
"Houston Texans","HOU",21.8
"Indianapolis Colts","IND",28.9
"Jacksonville Jaguars","JAX",25.2
"Kansas City Chiefs","KC",24.2
"Los Angeles Chargers","LAC",23.0
"Los Angeles Rams","LAR",29.2
"Las Vegas Raiders","LV",15.1
"Miami Dolphins","MIA",21.6
"Minnesota Vikings","MIN",19.6
"New England Patriots","NE",27.0
"New Orleans Saints","NO",15.8
"New York Giants","NYG",21.5
"New York Jets","NYJ",19.7
"Philadelphia Eagles","PHI",22.2
"Pittsburgh Steelers","PIT",23.7
"Seattle Seahawks","SEA",29.8
"San Francisco 49ers","SF",23.6
"Tampa Bay Buccaneers","TB",23.4
"Tennessee Titans","TEN",15.5
"Washington Commanders","WSH",20.2
