team,abbreviation,gsax60
New York Islanders,NYI,0.56
Colorado Avalanche,COL,0.4
Boston Bruins,BOS,0.34
Washington Capitals,WSH,0.31
Utah Hockey Club,UTA,0.3
Buffalo Sabres,BUF,0.3
Seattle Kraken,SEA,0.25
Tampa Bay Lightning,TBL,0.24
Dallas Stars,DAL,0.21
Pittsburgh Penguins,PIT,0.21
Winnipeg Jets,WPG,0.2
Calgary Flames,CGY,0.18
Chicago Blackhawks,CHI,0.14
Columbus Blue Jackets,CBJ,0.14
New York Rangers,NYR,0.12
Minnesota Wild,MIN,0.1
Los Angeles Kings,LAK,0.09
New Jersey Devils,NJD,0.08
Detroit Red Wings,DET,0.07
Carolina Hurricanes,CAR,0.05
Montreal Canadiens,MTL,-0.05
Edmonton Oilers,EDM,-0.09
Vancouver Canucks,VAN,-0.13
Anaheim Ducks,ANA,-0.19
Florida Panthers,FLA,-0.2
San Jose Sharks,SJS,-0.2
Philadelphia Flyers,PHI,-0.2
Toronto Maple Leafs,TOR,-0.23
Nashville Predators,NSH,-0.25
St. Louis Blues,STL,-0.37
Vegas Golden Knights,VGK,-0.4
Ottawa Senators,OTT,-0.53
