team,abbreviation,hdcf60
Carolina Hurricanes,CAR,13.51
Washington Capitals,WSH,13.45
Pittsburgh Penguins,PIT,13.43
Florida Panthers,FLA,13.17
Colorado Avalanche,COL,13.14
Vegas Golden Knights,VGK,13.13
Edmonton Oilers,EDM,13.07
Anaheim Ducks,ANA,12.98
Tampa Bay Lightning,TBL,12.82
Nashville Predators,NSH,12.63
Dallas Stars,DAL,12.54
Vancouver Canucks,VAN,12.47
Ottawa Senators,OTT,12.45
Utah Hockey Club,UTA,12.43
Minnesota Wild,MIN,12.41
Detroit Red Wings,DET,12.37
New Jersey Devils,NJD,12.28
Winnipeg Jets,WPG,12.19
Los Angeles Kings,LAK,12.03
Toronto Maple Leafs,TOR,12.02
Columbus Blue Jackets,CBJ,11.92
New York Rangers,NYR,11.84
San Jose Sharks,SJS,11.83
Calgary Flames,CGY,11.82
Philadelphia Flyers,PHI,11.8
Buffalo Sabres,BUF,11.78
Boston Bruins,BOS,11.22
New York Islanders,NYI,11.18
Montreal Canadiens,MTL,10.55
St. Louis Blues,STL,10.37
Seattle Kraken,SEA,10.16
Chicago Blackhawks,CHI,10.07
