team,abbreviation,pk
Chicago Blackhawks,CHI,85.23
Pittsburgh Penguins,PIT,84.12
Colorado Avalanche,COL,83.85
Toronto Maple Leafs,TOR,83.78
Tampa Bay Lightning,TBL,83.15
Calgary Flames,CGY,82.53
Buffalo Sabres,BUF,82.5
Florida Panthers,FLA,82.12
New York Islanders,NYI,81.48
Vegas Golden Knights,VGK,81.43
Dallas Stars,DAL,80.34
Carolina Hurricanes,CAR,80.25
Nashville Predators,NSH,80.0
Philadelphia Flyers,PHI,79.89
New York Rangers,NYR,79.66
Detroit Red Wings,DET,79.22
New Jersey Devils,NJD,79.19
Washington Capitals,WSH,78.97
Winnipeg Jets,WPG,78.82
San Jose Sharks,SJS,78.73
Utah Hockey Club,UTA,78.69
Anaheim Ducks,ANA,77.72
Minnesota Wild,MIN,77.42
Edmonton Oilers,EDM,77.24
Columbus Blue Jackets,CBJ,77.16
Boston Bruins,BOS,76.74
Montreal Canadiens,MTL,76.59
Los Angeles Kings,LAK,75.66
St. Louis Blues,STL,73.75
Ottawa Senators,OTT,72.78
Seattle Kraken,SEA,71.43
Vancouver Canucks,VAN,71.1
