"team","abbreviation","times_shorthanded"
"New Jersey Devils","NJD",2.9
"Columbus Blue Jackets","CBJ",2.91
"New York Rangers","NYR",3.06
"Toronto Maple Leafs","TOR",3.07
"Seattle Kraken","SEA",3.09
"Winnipeg Jets","WPG",3.13
"Los Angeles Kings","LAK",3.15
"St. Louis Blues","STL",3.18
"Pittsburgh Penguins","PIT",3.24
"New York Islanders","NYI",3.33
"Edmonton Oilers","EDM",3.33
"Vegas Golden Knights","VGK",3.34
"Chicago Blackhawks","CHI",3.34
"Vancouver Canucks","VAN",3.38
"Utah Hockey Club","UTA",3.41
"Calgary Flames","CGY",3.46
"Carolina Hurricanes","CAR",3.49
"Nashville Predators","NSH",3.5
"Detroit Red Wings","DET",3.52
"Colorado Avalanche","COL",3.52
"Dallas Stars","DAL",3.52
"Washington Capitals","WSH",3.56
"San Jose Sharks","SJS",3.56
"Minnesota Wild","MIN",3.63
"Philadelphia Flyers","PHI",3.67
"Buffalo Sabres","BUF",3.87
"Boston Bruins","BOS",3.88
"Anaheim Ducks","ANA",3.89
"Ottawa Senators","OTT",3.95
"Montreal Canadiens","MTL",3.96
"Florida Panthers","FLA",4.22
"Tampa Bay Lightning","TBL",4.71
