team,abbreviation,xga60
Vegas Golden Knights,VGK,2.62
Ottawa Senators,OTT,2.63
Colorado Avalanche,COL,2.79
Carolina Hurricanes,CAR,2.82
Philadelphia Flyers,PHI,2.84
Tampa Bay Lightning,TBL,2.84
Dallas Stars,DAL,2.9
Los Angeles Kings,LAK,2.91
Minnesota Wild,MIN,2.91
Pittsburgh Penguins,PIT,2.94
Detroit Red Wings,DET,2.97
St. Louis Blues,STL,2.98
Utah Hockey Club,UTA,3.04
New Jersey Devils,NJD,3.05
Calgary Flames,CGY,3.08
Florida Panthers,FLA,3.08
Seattle Kraken,SEA,3.09
Nashville Predators,NSH,3.15
Toronto Maple Leafs,TOR,3.15
Montreal Canadiens,MTL,3.16
Washington Capitals,WSH,3.16
Chicago Blackhawks,CHI,3.21
Edmonton Oilers,EDM,3.23
New York Islanders,NYI,3.25
New York Rangers,NYR,3.25
San Jose Sharks,SJS,3.25
Winnipeg Jets,WPG,3.25
Anaheim Ducks,ANA,3.26
Buffalo Sabres,BUF,3.26
Columbus Blue Jackets,CBJ,3.26
Boston Bruins,BOS,3.39
Vancouver Canucks,VAN,3.48
