"team","abbreviation","xgf60"
"Colorado Avalanche","COL",3.62
"Carolina Hurricanes","CAR",3.61
"Tampa Bay Lightning","TBL",3.43
"Anaheim Ducks","ANA",3.42
"Edmonton Oilers","EDM",3.31
"Ottawa Senators","OTT",3.28
"Pittsburgh Penguins","PIT",3.27
"Washington Capitals","WSH",3.25
"Montreal Canadiens","MTL",3.22
"Florida Panthers","FLA",3.2
"Minnesota Wild","MIN",3.18
"Utah Hockey Club","UTA",3.17
"Vegas Golden Knights","VGK",3.17
"New Jersey Devils","NJD",3.15
"Buffalo Sabres","BUF",3.12
"Dallas Stars","DAL",3.11
"Columbus Blue Jackets","CBJ",3.11
"New York Islanders","NYI",3.09
"Detroit Red Wings","DET",3.09
"Nashville Predators","NSH",3.02
"Boston Bruins","BOS",2.98
"Winnipeg Jets","WPG",2.98
"Los Angeles Kings","LAK",2.97
"San Jose Sharks","SJS",2.91
"Philadelphia Flyers","PHI",2.88
"New York Rangers","NYR",2.86
"Toronto Maple Leafs","TOR",2.86
"Vancouver Canucks","VAN",2.82
"Calgary Flames","CGY",2.8
"Seattle Kraken","SEA",2.69
"St. Louis Blues","STL",2.68
"Chicago Blackhawks","CHI",2.64
