"team","abbreviation","ppg"
"Denver Nuggets","DEN",125.1
"Miami Heat","MIA",123.6
"Oklahoma City Thunder","OKC",122.3
"Houston Rockets","HOU",121.7
"Minnesota Timberwolves","MIN",120.8
"New York Knicks","NY",120.2
"Los Angeles Lakers","LAL",119.2
"Orlando Magic","ORL",119.2
"Chicago Bulls","CHI",119.1
"Cleveland Cavaliers","CLE",119.1
"San Antonio Spurs","SAS",119.0
"Utah Jazz","UTA",118.7
"Golden State Warriors","GS",118.3
"Phoenix Suns","PHX",118.0
"Sacramento Kings","SAC",117.9
"New Orleans Pelicans","NOP",117.4
"Portland Trail Blazers","POR",116.0
"Los Angeles Clippers","LAC",112.5
"Dallas Mavericks","DAL",111.4
"Washington Wizards","WAS",112.0
"Brooklyn Nets","BKN",109.0
"Indiana Pacers","IND",110.6
"Charlotte Hornets","CHA",114.7
"Memphis Grizzlies","MEM",114.7
"Boston Celtics","BOS",115.8
"Atlanta Hawks","ATL",116.8
"Philadelphia 76ers","PHI",117.0
"Toronto Raptors","TOR",117.8
"Detroit Pistons","DET",118.3
"Milwaukee Bucks","MIL",118.3
