"team","abbreviation","rebound_margin"
"Houston Rockets","HOU",+11.3
"Detroit Pistons","DET",+5.4
"Denver Nuggets","DEN",+5.3
"New York Knicks","NY",+4.8
"Charlotte Hornets","CHA",+3.8
"San Antonio Spurs","SAS",+3.8
"Orlando Magic","ORL",+3.1
"Memphis Grizzlies","MEM",+3.1
"Utah Jazz","UTA",-0.6
"Los Angeles Lakers","LAL",+1.8
"Portland Trail Blazers","POR",+1.5
"Phoenix Suns","PHX",+1.3
"Oklahoma City Thunder","OKC",+0.6
"Boston Celtics","BOS",+0.6
"Minnesota Timberwolves","MIN",+0.0
"Philadelphia 76ers","PHI",+0.0
"Toronto Raptors","TOR",-0.4
"Cleveland Cavaliers","CLE",-1.0
"Chicago Bulls","CHI",-1.1
"LA Clippers","LAC",-1.3
"Golden State Warriors","GS",-2.1
"New Orleans Pelicans","NOP",-2.1
"Indiana Pacers","IND",-2.7
"Miami Heat","MIA",-3.1
"Dallas Mavericks","DAL",-3.3
"Brooklyn Nets","BKN",-4.6
"Atlanta Hawks","ATL",-4.8
"Milwaukee Bucks","MIL",-5.0
"Washington Wizards","WAS",-6.1
"Sacramento Kings","SAC",-8.0
