"team","abbreviation","turnover_margin"
"Washington Wizards","WAS",+4.1
"Utah Jazz","UTA",+2.7
"Charlotte Hornets","CHA",+2.4
"Chicago Bulls","CHI",+2.0
"LA Clippers","LAC",+1.6
"Dallas Mavericks","DAL",+2.0
"Brooklyn Nets","BKN",+1.6
"Denver Nuggets","DEN",+1.3
"Memphis Grizzlies","MEM",+0.8
"Philadelphia 76ers","PHI",+0.8
"Indiana Pacers","IND",-0.1
"Portland Trail Blazers","POR",-1.0
"Minnesota Timberwolves","MIN",+1.2
"San Antonio Spurs","SAS",+0.1
"Houston Rockets","HOU",+0.1
"Milwaukee Bucks","MIL",+0.1
"Los Angeles Lakers","LAL",0.0
"Golden State Warriors","GS",-0.1
"Detroit Pistons","DET",+1.0
"New Orleans Pelicans","NOP",-0.9
"Sacramento Kings","SAC",-1.0
"Phoenix Suns","PHX",-1.1
"Orlando Magic","ORL",-1.4
"Miami Heat","MIA",-0.7
"Toronto Raptors","TOR",-1.4
"Atlanta Hawks","ATL",-1.9
"New York Knicks","NY",-1.0
"Cleveland Cavaliers","CLE",-2.0
"Boston Celtics","BOS",-3.1
"Oklahoma City Thunder","OKC",-4.6
