"team","abbreviation","def_rtg"
"Oklahoma City Thunder","OKC",104.8
"Orlando Magic","ORL",107
"Houston Rockets","HOU",108.1
"LA Clippers","LAC",108.5
"Boston Celtics","BOS",109
"Golden State Warriors","GS",109.1
"Minnesota Timberwolves","MIN",109.5
"Cleveland Cavaliers","CLE",109.8
"Memphis Grizzlies","MEM",110.1
"Detroit Pistons","DET",110.9
"Milwaukee Bucks","MIL",111.4
"Miami Heat","MIA",111.8
"Los Angeles Lakers","LAL",112.1
"Portland Trail Blazers","POR",112.1
"New York Knicks","NY",112.5
"Toronto Raptors","TOR",112.5
"Indiana Pacers","IND",112.6
"Atlanta Hawks","ATL",113.4
"Brooklyn Nets","BKN",113.4
"Chicago Bulls","CHI",113.4
"Dallas Mavericks","DAL",113.5
"Charlotte Hornets","CHA",113.8
"Denver Nuggets","DEN",114.3
"Sacramento Kings","SAC",114.6
"San Antonio Spurs","SA",114.6
"Philadelphia 76ers","PHI",115.9
"Washington Wizards","WSH",116.3
"New Orleans Pelicans","NO",117.2
"Phoenix Suns","PHX",117.3
"Utah Jazz","UTAH",118
