"team","abbreviation","fg_pct"
"Los Angeles Lakers","LAL",51.3
"Denver Nuggets","DEN",51.1
"Milwaukee Bucks","MIL",49.2
"San Antonio Spurs","SA",49.0
"Toronto Raptors","TOR",49.0
"Detroit Pistons","DET",48.8
"Atlanta Hawks","ATL",48.8
"Oklahoma City Thunder","OKC",48.7
"Minnesota Timberwolves","MIN",48.7
"Houston Rockets","HOU",48.2
"Miami Heat","MIA",48.0
"Orlando Magic","ORL",47.6
"Chicago Bulls","CHI",47.3
"New York Knicks","NY",47.0
"LA Clippers","LAC",47.0
"Phoenix Suns","PHX",46.7
"Sacramento Kings","SAC",46.5
"Philadelphia 76ers","PHI",46.2
"Washington Wizards","WSH",46.2
"Boston Celtics","BOS",46.1
"Cleveland Cavaliers","CLE",46.0
"Charlotte Hornets","CHA",45.4
"Utah Jazz","UTA",45.2
"Golden State Warriors","GS",45.1
"New Orleans Pelicans","NO",44.8
"Dallas Mavericks","DAL",44.4
"Portland Trail Blazers","POR",44.3
"Memphis Grizzlies","MEM",44.3
"Brooklyn Nets","BKN",43.9
"Indiana Pacers","IND",42.4
