"team","abbreviation","net_rtg"
"Oklahoma City Thunder","OKC",12.6
"Cleveland Cavaliers","CLE",9.3
"Boston Celtics","BOS",9.2
"Minnesota Timberwolves","MIN",5
"LA Clippers","LAC",4.7
"Memphis Grizzlies","MEM",4.5
"Houston Rockets","HOU",4.4
"New York Knicks","NY",4.1
"Denver Nuggets","DEN",3.8
"Golden State Warriors","GS",3.3
"Milwaukee Bucks","MIL",2.5
"Indiana Pacers","IND",2.2
"Detroit Pistons","DET",1.9
"Los Angeles Lakers","LAL",1.2
"Miami Heat","MIA",0.6
"Sacramento Kings","SAC",0.4
"Orlando Magic","ORL",-0.1
"Atlanta Hawks","ATL",-1.1
"Dallas Mavericks","DAL",-1.2
"Chicago Bulls","CHI",-1.5
"San Antonio Spurs","SA",-2.7
"Phoenix Suns","PHX",-3
"Portland Trail Blazers","POR",-3
"Toronto Raptors","TOR",-4.2
"Philadelphia 76ers","PHI",-6.2
"Brooklyn Nets","BKN",-7.2
"Charlotte Hornets","CHA",-9.1
"Utah Jazz","UTAH",-9.1
"New Orleans Pelicans","NO",-9.3
"Washington Wizards","WSH",-12
