"team","abbreviation","allowed"
"Cincinnati Bengals","CIN",31.2
"Dallas Cowboys","DAL",28.5
"New York Giants","NYG",28.2
"Tennessee Titans","TEN",27.3
"Washington Commanders","WAS",26.9
"New York Jets","NYJ",26.3
"Las Vegas Raiders","LV",25.7
"Chicago Bears","CHI",25.6
"Arizona Cardinals","ARI",25.3
"Tampa Bay Buccaneers","TB",25.1
"New Orleans Saints","NO",24.6
"Baltimore Ravens","BAL",24.4
"Pittsburgh Steelers","PIT",24.1
"Miami Dolphins","MIA",23.8
"Minnesota Vikings","MIN",23.4
"Atlanta Falcons","ATL",23.0
"Carolina Panthers","CAR",22.8
"Detroit Lions","DET",22.8
"Cleveland Browns","CLE",22.5
"Buffalo Bills","BUF",21.6
"Jacksonville Jaguars","JAX",21.1
"Los Angeles Chargers","LAC",21.0
"Indianapolis Colts","IND",20.8
"Philadelphia Eagles","PHI",20.8
"San Francisco 49ers","SF",20.7
"Kansas City Chiefs","KC",19.3
"Green Bay Packers","GB",18.8
"New England Patriots","NE",18.5
"Denver Broncos","DEN",18.2
"Seattle Seahawks","SEA",18.1
"Los Angeles Rams","LAR",17.5
"Houston Texans","HOU",16.5
