"team","abbreviation","def_yards"
"Buffalo Bills","BUF",167.1
"Minnesota Vikings","MIN",168.8
"Cleveland Browns","CLE",164.1
"New Orleans Saints","NO",177.3
"Los Angeles Chargers","LAC",179.3
"Houston Texans","HOU",176.1
"Philadelphia Eagles","PHI",192.3
"Kansas City Chiefs","KC",202.7
"Green Bay Packers","GB",197.8
"New England Patriots","NE",202.0
"Atlanta Falcons","ATL",195.1
"Denver Broncos","DEN",192.4
"Las Vegas Raiders","LV",209.7
"New York Jets","NYJ",208.7
"Carolina Panthers","CAR",209.6
"Miami Dolphins","MIA",209.1
"Chicago Bears","CHI",217.1
"Seattle Seahawks","SEA",209.1
"Arizona Cardinals","ARI",224.1
"Tennessee Titans","TEN",222.9
"New York Giants","NYG",222.1
"Detroit Lions","DET",218.1
"San Francisco 49ers","SF",229.3
"Los Angeles Rams","LAR",221.3
"Jacksonville Jaguars","JAX",230.3
"Baltimore Ravens","BAL",242.7
"Cincinnati Bengals","CIN",246.8
"Washington Commanders","WSH",243.4
"Tampa Bay Buccaneers","TB",242.0
"Indianapolis Colts","IND",250.7
"Pittsburgh Steelers","PIT",249.3
"Dallas Cowboys","DAL",253.6
