"team","abbreviation","ppg"
"Indianapolis Colts","IND",32.1
"Dallas Cowboys","DAL",29.6
"Seattle Seahawks","SEA",29.4
"Detroit Lions","DET",29.2
"Buffalo Bills","BUF",28.3
"Los Angeles Rams","LAR",27.2
"New England Patriots","NE",26.5
"Chicago Bears","CHI",25.8
"Kansas City Chiefs","KC",25.4
"Baltimore Ravens","BAL",25.2
"Tampa Bay Buccaneers","TB",25.2
"Pittsburgh Steelers","PIT",24.6
"Green Bay Packers","GB",24.0
"Jacksonville Jaguars","JAX",24.0
"San Francisco 49ers","SF",23.7
"Philadelphia Eagles","PHI",23.4
"Denver Broncos","DEN",23.4
"Cincinnati Bengals","CIN",22.8
"Arizona Cardinals","ARI",22.4
"Los Angeles Chargers","LAC",22.4
"Houston Texans","HOU",22.1
"Minnesota Vikings","MIN",21.8
"New York Giants","NYG",21.5
"Washington Commanders","WSH",21.5
"New York Jets","NYJ",20.9
"Miami Dolphins","MIA",20.5
"Atlanta Falcons","ATL",19.5
"Carolina Panthers","CAR",18.8
"Cleveland Browns","CLE",16.2
"Las Vegas Raiders","LV",15.5
"New Orleans Saints","NO",15.5
"Tennessee Titans","TEN",14.3 
