"team","abbreviation","gsax60"
"Anaheim Ducks","ANA",-0.2
"Boston Bruins","BOS",0.31
"Buffalo Sabres","BUF",0.26
"Carolina Hurricanes","CAR",0.04
"Columbus Blue Jackets","CBJ",0.16
"Calgary Flames","CGY",0.16
"Chicago Blackhawks","CHI",0.09
"Colorado Avalanche","COL",0.36
"Dallas Stars","DAL",0.21
"Detroit Red Wings","DET",0.08
"Edmonton Oilers","EDM",-0.04
"Florida Panthers","FLA",-0.17
"Los Angeles Kings","LAK",0.06
"Minnesota Wild","MIN",0.08
"Montreal Canadiens","MTL",0
"New Jersey Devils","NJD",0.01
"Nashville Predators","NSH",-0.25
"New York Islanders","NYI",0.58
"New York Rangers","NYR",0.16
"Ottawa Senators","OTT",-0.54
"Philadelphia Flyers","PHI",-0.24
"Pittsburgh Penguins","PIT",0.14
"Seattle Kraken","SEA",0.21
"San Jose Sharks","SJS",-0.21
"St. Louis Blues","STL",-0.45
"Tampa Bay Lightning","TBL",0.33
"Toronto Maple Leafs","TOR",-0.22
"Utah Hockey Club","UTA",0.29
"Vancouver Canucks","VAN",-0.1
"Vegas Golden Knights","VGK",-0.37
"Winnipeg Jets","WPG",0.17
"Washington Capitals","WSH",0.33
