"team","abbreviation","hdcf60"
"Carolina Hurricanes","CAR",3.95
"Colorado Avalanche","COL",3.86
"Edmonton Oilers","EDM",3.81
"Tampa Bay Lightning","TBL",3.76
"Nashville Predators","NSH",3.64
"Pittsburgh Penguins","PIT",3.6
"Dallas Stars","DAL",3.56
"Vancouver Canucks","VAN",3.54
"Washington Capitals","WSH",3.51
"Columbus Blue Jackets","CBJ",3.49
"Florida Panthers","FLA",3.4
"Ottawa Senators","OTT",3.39
"Winnipeg Jets","WPG",3.38
"Detroit Red Wings","DET",3.37
"Minnesota Wild","MIN",3.31
"Vegas Golden Knights","VGK",3.31
"San Jose Sharks","SJS",3.29
"Utah Hockey Club","UTA",3.25
"Montreal Canadiens","MTL",3.24
"Buffalo Sabres","BUF",3.2
"New Jersey Devils","NJD",3.19
"New York Islanders","NYI",3.15
"Boston Bruins","BOS",3.11
"Calgary Flames","CGY",3.1
"Los Angeles Kings","LAK",3.02
"Anaheim Ducks","ANA",2.97
"New York Rangers","NYR",2.96
"Chicago Blackhawks","CHI",2.95
"Philadelphia Flyers","PHI",2.85
"Seattle Kraken","SEA",2.83
"Toronto Maple Leafs","TOR",2.82
"St. Louis Blues","STL",2.69
