"team","abbreviation","pk"
"Anaheim Ducks","ANA",78.0899
"Boston Bruins","BOS",76.3034
"Buffalo Sabres","BUF",82.46759999999999
"Carolina Hurricanes","CAR",80.625
"Columbus Blue Jackets","CBJ",77.35849999999999
"Calgary Flames","CGY",82.2086
"Chicago Blackhawks","CHI",85.7143
"Colorado Avalanche","COL",84.66669999999999
"Dallas Stars","DAL",79.8851
"Detroit Red Wings","DET",79.6053
"Edmonton Oilers","EDM",76.875
"Florida Panthers","FLA",82.5871
"Los Angeles Kings","LAK",76.6305
"Minnesota Wild","MIN",77.1813
"Montreal Canadiens","MTL",76.8818
"New Jersey Devils","NJD",79.021
"Nashville Predators","NSH",80.0
"New York Islanders","NYI",82.39
"New York Rangers","NYR",79.8817
"Ottawa Senators","OTT",73.0539
"Philadelphia Flyers","PHI",79.0698
"Pittsburgh Penguins","PIT",84.0491
"Seattle Kraken","SEA",71.519
"San Jose Sharks","SJS",78.3626
"St. Louis Blues","STL",73.2485
"Tampa Bay Lightning","TBL",83.90809999999999
"Toronto Maple Leafs","TOR",83.688
"Utah Hockey Club","UTA",79.0961
"Vancouver Canucks","VAN",70.5883
"Vegas Golden Knights","VGK",81.3433
"Winnipeg Jets","WPG",79.042
"Washington Capitals","WSH",78.9474
