"team","abbreviation","pp"
"Anaheim Ducks","ANA",18.29
"Boston Bruins","BOS",26.01
"Buffalo Sabres","BUF",20.0
"Carolina Hurricanes","CAR",21.91
"Columbus Blue Jackets","CBJ",19.56
"Calgary Flames","CGY",16.09
"Chicago Blackhawks","CHI",19.16
"Colorado Avalanche","COL",15.14
"Dallas Stars","DAL",30.0
"Detroit Red Wings","DET",23.37
"Edmonton Oilers","EDM",32.32
"Florida Panthers","FLA",19.35
"Los Angeles Kings","LAK",16.28
"Minnesota Wild","MIN",25.76
"Montreal Canadiens","MTL",24.7
"New Jersey Devils","NJD",19.87
"Nashville Predators","NSH",22.22
"New York Islanders","NYI",16.09
"New York Rangers","NYR",22.6
"Ottawa Senators","OTT",23.4
"Philadelphia Flyers","PHI",15.88
"Pittsburgh Penguins","PIT",26.14
"Seattle Kraken","SEA",22.02
"San Jose Sharks","SJS",19.69
"St. Louis Blues","STL",17.83
"Tampa Bay Lightning","TBL",22.22
"Toronto Maple Leafs","TOR",19.56
"Utah Hockey Club","UTA",16.07
"Vancouver Canucks","VAN",18.08
"Vegas Golden Knights","VGK",25.88
"Winnipeg Jets","WPG",18.9
"Washington Capitals","WSH",15.85
