"team","abbreviation","times_shorthanded"
"Anaheim Ducks","ANA",3.17
"Boston Bruins","BOS",3.64
"Buffalo Sabres","BUF",2.71
"Carolina Hurricanes","CAR",2.79
"Columbus Blue Jackets","CBJ",2.84
"Calgary Flames","CGY",2.91
"Chicago Blackhawks","CHI",3.03
"Colorado Avalanche","COL",2.82
"Dallas Stars","DAL",3.07
"Detroit Red Wings","DET",2.61
"Edmonton Oilers","EDM",2.78
"Florida Panthers","FLA",3.51
"Los Angeles Kings","LAK",3.26
"Minnesota Wild","MIN",2.58
"Montreal Canadiens","MTL",3.24
"New Jersey Devils","NJD",2.53
"Nashville Predators","NSH",3.02
"New York Islanders","NYI",2.75
"New York Rangers","NYR",3.0
"Ottawa Senators","OTT",2.91
"Philadelphia Flyers","PHI",3.03
"Pittsburgh Penguins","PIT",2.93
"Seattle Kraken","SEA",2.78
"San Jose Sharks","SJS",3.11
"St. Louis Blues","STL",2.76
"Tampa Bay Lightning","TBL",3.12
"Toronto Maple Leafs","TOR",2.51
"Utah Hockey Club","UTA",3.1
"Vancouver Canucks","VAN",2.98
"Vegas Golden Knights","VGK",2.37
"Winnipeg Jets","WPG",2.93
"Washington Capitals","WSH",3.2
