"team","abbreviation","xga60"
"Vegas Golden Knights","VGK",2.6
"Ottawa Senators","OTT",2.63
"Colorado Avalanche","COL",2.76
"Carolina Hurricanes","CAR",2.8
"Philadelphia Flyers","PHI",2.82
"Tampa Bay Lightning","TBL",2.84
"Dallas Stars","DAL",2.85
"Minnesota Wild","MIN",2.91
"Los Angeles Kings","LAK",2.92
"Pittsburgh Penguins","PIT",2.93
"Detroit Red Wings","DET",2.98
"St. Louis Blues","STL",3.01
"New Jersey Devils","NJD",3.03
"Utah Hockey Club","UTA",3.06
"Florida Panthers","FLA",3.07
"Seattle Kraken","SEA",3.08
"Calgary Flames","CGY",3.12
"Toronto Maple Leafs","TOR",3.14
"Montreal Canadiens","MTL",3.16
"Nashville Predators","NSH",3.16
"Washington Capitals","WSH",3.17
"Chicago Blackhawks","CHI",3.2
"San Jose Sharks","SJS",3.2
"Edmonton Oilers","EDM",3.24
"New York Rangers","NYR",3.24
"Winnipeg Jets","WPG",3.24
"New York Islanders","NYI",3.25
"Columbus Blue Jackets","CBJ",3.26
"Anaheim Ducks","ANA",3.26
"Buffalo Sabres","BUF",3.27
"Boston Bruins","BOS",3.38
"Vancouver Canucks","VAN",3.51
