"team","abbreviation","xgf60"
"Anaheim Ducks","ANA",3.23
"Boston Bruins","BOS",2.94
"Buffalo Sabres","BUF",3.13
"Carolina Hurricanes","CAR",3.53
"Columbus Blue Jackets","CBJ",3.17
"Calgary Flames","CGY",2.9
"Chicago Blackhawks","CHI",2.62
"Colorado Avalanche","COL",3.63
"Dallas Stars","DAL",3.18
"Detroit Red Wings","DET",3.12
"Edmonton Oilers","EDM",3.36
"Florida Panthers","FLA",3.27
"Los Angeles Kings","LAK",2.89
"Minnesota Wild","MIN",3.1
"Montreal Canadiens","MTL",3.1
"New Jersey Devils","NJD",2.94
"Nashville Predators","NSH",3.09
"New York Islanders","NYI",2.95
"New York Rangers","NYR",2.78
"Ottawa Senators","OTT",3.13
"Philadelphia Flyers","PHI",2.81
"Pittsburgh Penguins","PIT",3.29
"Seattle Kraken","SEA",2.76
"San Jose Sharks","SJS",2.88
"St. Louis Blues","STL",2.54
"Tampa Bay Lightning","TBL",3.55
"Toronto Maple Leafs","TOR",2.91
"Utah Hockey Club","UTA",3.13
"Vancouver Canucks","VAN",2.95
"Vegas Golden Knights","VGK",3.11
"Winnipeg Jets","WPG",2.94
"Washington Capitals","WSH",3.27
