"team","abbreviation","ppg"
"Brooklyn Nets","BKN",108.4
"Indiana Pacers","IND",109.8
"Dallas Mavericks","DAL",110.2
"New Orleans Pelicans","NO",111.2
"Sacramento Kings","SAC",111.8
"LA Clippers","LAC",111.8
"Washington Wizards","WSH",112.5
"Memphis Grizzlies","MEM",113.4
"Golden State Warriors","GS",114.5
"Boston Celtics","BOS",114.9
"Milwaukee Bucks","MIL",115.5
"Charlotte Hornets","CHA",115.9
"Phoenix Suns","PHX",116.7
"Toronto Raptors","TOR",117.6
"Utah Jazz","UTA",117.7
"Philadelphia 76ers","PHI",118.2
"Portland Trail Blazers","POR",118.3
"Cleveland Cavaliers","CLE",118.8
"San Antonio Spurs","SA",118.8
"Atlanta Hawks","ATL",118.9
"Minnesota Timberwolves","MIN",119.2
"Orlando Magic","ORL",119.3
"Los Angeles Lakers","LAL",119.6
"Detroit Pistons","DET",119.8
"Chicago Bulls","CHI",119.9
"New York Knicks","NY",120.4
"Houston Rockets","HOU",121.6
"Oklahoma City Thunder","OKC",122.2
"Miami Heat","MIA",123.6
"Denver Nuggets","DEN",124.8
