"team","abbreviation","three_pct"
"Denver Nuggets","DEN",39.5
"Cleveland Cavaliers","CLE",35.8
"Oklahoma City Thunder","OKC",36.2
"Minnesota Timberwolves","MIN",37.5
"Miami Heat","MIA",36.0
"Utah Jazz","UTAH",35.0
"San Antonio Spurs","SA",34.7
"New York Knicks","NY",37.8
"Atlanta Hawks","ATL",37.0
"Detroit Pistons","DET",34.9
"Chicago Bulls","CHI",36.7
"Portland Trail Blazers","POR",34.2
"Philadelphia 76ers","PHI",35.6
"Los Angeles Lakers","LAL",35.0
"Charlotte Hornets","CHA",37.3
"Golden State Warriors","GS",36.2
"Memphis Grizzlies","MEM",35.1
"Boston Celtics","BOS",36.3
"Orlando Magic","ORL",34.2
"Houston Rockets","HOU",37.0
"New Orleans Pelicans","NO",34.5
"Dallas Mavericks","DAL",34.2
"Toronto Raptors","TOR",34.4
"Phoenix Suns","PHX",36.4
"Washington Wizards","WSH",35.4
"LA Clippers","LAC",36.5
"Milwaukee Bucks","MIL",39.2
"Indiana Pacers","IND",34.7
"Sacramento Kings","SAC",34.2
"Brooklyn Nets","BKN",34.4
