"team","abbreviation","three_rate"
"Golden State Warriors","GS",0.453
"Charlotte Hornets","CHA",0.425
"Boston Celtics","BOS",0.424
"Portland Trail Blazers","POR",0.419
"Phoenix Suns","PHX",0.41
"Cleveland Cavaliers","CLE",0.403
"Chicago Bulls","CHI",0.401
"Brooklyn Nets","BKN",0.393
"Atlanta Hawks","ATL",0.392
"New York Knicks","NY",0.392
"Memphis Grizzlies","MEM",0.381
"Milwaukee Bucks","MIL",0.38
"Oklahoma City Thunder","OKC",0.377
"Minnesota Timberwolves","MIN",0.376
"San Antonio Spurs","SA",0.376
"Utah Jazz","UTAH",0.373
"Miami Heat","MIA",0.371
"Indiana Pacers","IND",0.369
"Washington Wizards","WSH",0.362
"Philadelphia 76ers","PHI",0.357
"Denver Nuggets","DEN",0.351
"Orlando Magic","ORL",0.339
"LA Clippers","LAC",0.337
"Los Angeles Lakers","LAL",0.337
"Toronto Raptors","TOR",0.33
"New Orleans Pelicans","NO",0.324
"Detroit Pistons","DET",0.314
"Dallas Mavericks","DAL",0.312
"Houston Rockets","HOU",0.307
"Sacramento Kings","SAC",0.301
