"team","abbreviation","turnover_margin"
"Atlanta Hawks","ATL",-1.8
"Boston Celtics","BOS",-3.4
"Brooklyn Nets","BKN",+1.3
"Charlotte Hornets","CHA",+2.6
"Chicago Bulls","CHI",+2.5
"Cleveland Cavaliers","CLE",-2.2
"Dallas Mavericks","DAL",+2.9
"Denver Nuggets","DEN",+0.8
"Detroit Pistons","DET",-2.6
"Golden State Warriors","GS",-0.5
"Houston Rockets","HOU",+0.5
"Indiana Pacers","IND",+0.3
"LA Clippers","LAC",+2.2
"Los Angeles Lakers","LAL",-0.2
"Memphis Grizzlies","MEM",-0.1
"Miami Heat","MIA",-1.1
"Milwaukee Bucks","MIL",0
"Minnesota Timberwolves","MIN",-1.6
"New Orleans Pelicans","NOP",-0.8
"New York Knicks","NY",-1.6
"Oklahoma City Thunder","OKC",-4.7
"Orlando Magic","ORL",0
"Philadelphia 76ers","PHI",+1.0
"Phoenix Suns","PHX",-0.8
"Portland Trail Blazers","POR",0
"Sacramento Kings","SAC",-1.1
"San Antonio Spurs","SAS",+1.3
"Toronto Raptors","TOR",-2.2
"Utah Jazz","UTA",+2.6
"Washington Wizards","WSH",+4.9
